	URL		B&W	COLUMNS	GENRE	SOUS-GENRE	TRAD	ACTES	RECUEIL	GENDER	FONT	DOUBLE	ARK CATALOGUE	DATES	AUTEURS	WD	TITRE	CONTRIBUTEURS	EDITEURS	DESCRIPTIONS	SUJETS	PROVENANCE		DROITS	NOMBRE DE VUES	CODE(S) PROJET(S)	NQA Moyen (%)	SOURCE
https://gallica.bnf.fr/ark:/12148/bpt6k1280591d/f10.thumbnail	https://gallica.bnf.fr/ark:/12148/bpt6k1280591d		No	1	Tragédie	–	No		No	M		No	http://catalogue.bnf.fr/ark:/12148/cb30000572m	1674	Abeille, Gaspard (1648-1718). Auteur du texte	Q1338057	Argélie, reyne de Thessalie . Tragédie		C. Barbin (Paris)			Gallica		domaine public ¤ public domain	96		0	Bibliothèque nationale de France, département Arts du spectacle, RESERVE 8-RF-3701 (2)
https://gallica.bnf.fr/ark:/12148/bpt6k5742924x/f10.thumbnail	https://gallica.bnf.fr/ark:/12148/bpt6k5742924x		Yes	1	Tragédie	–	No		No	M		No	http://catalogue.bnf.fr/ark:/12148/cb30000577b	1676	Abeille, Gaspard (1648-1718). Auteur du texte	Q1338057	Coriolan , tragédie. Par M. Abeille		C. Barbin (Paris)	Avec mode texte		Gallica		domaine public ¤ public domain	98		82,86	Bibliothèque nationale de France, département Littérature et art, YF-8011
https://gallica.bnf.fr/ark:/12148/bpt6k9809877v/f10.thumbnail	https://gallica.bnf.fr/ark:/12148/bpt6k9809877v		No	1	Comédie	–	No	1	No	M		No	http://catalogue.bnf.fr/ark:/12148/cb30001228j	1882	About, Edmond (1828-1885). Auteur du texte	Q361004	L'assassin : comédie en un acte / par Edmond About		Ollendorff (Paris)	Avec mode texte		Gallica		domaine public ¤ public domain	74		98,89	Bibliothèque nationale de France, département Littérature et art, 8-YTH-20765
https://gallica.bnf.fr/ark:/12148/bpt6k42270712/f10.thumbnail	https://gallica.bnf.fr/ark:/12148/bpt6k42270712		No	1	Comédie	–	No	1	No	M		No	http://catalogue.bnf.fr/ark:/12148/cb30001229w	1860	About, Edmond (1828-1885). Auteur du texte ¤ Najac, Émile de (1828-1889). Auteur du texte	Q361004 - Q286654	Le capitaine Bitterlin : comédie en 1 acte, en prose / par Edmond About et Émile de Najac		Michel-Lévy frères (Paris)	Avec mode texte		Gallica		domaine public ¤ public domain	52		87,59	Bibliothèque nationale de France, département Littérature et art, 8-YTH-2626
https://gallica.bnf.fr/ark:/12148/bpt6k30452851/f10.thumbnail	https://gallica.bnf.fr/ark:/12148/bpt6k30452851		No	1	Comédie	–	No	3	No	M		No	http://catalogue.bnf.fr/ark:/12148/cb30001270b	1856	About, Edmond (1828-1885). Auteur du texte	Q361004	Guillery : comédie en trois actes, en prose / par Edmond About		Michel Lévy frères (Paris)	Avec mode texte		Gallica		domaine public ¤ public domain	76		87,02	Bibliothèque nationale de France, département Littérature et art, 8-YTH-8191
https://gallica.bnf.fr/ark:/12148/bpt6k9748788v/f10.thumbnail	https://gallica.bnf.fr/ark:/12148/bpt6k9748788v		No	1	Comédie	–	No	1	No	M		No	http://catalogue.bnf.fr/ark:/12148/cb30001271p	1868	About, Edmond (1828-1885). Auteur du texte ¤ Najac, Émile de (1828-1889). Auteur du texte	Q361004 - Q286654	Histoire ancienne : comédie en un acte / par MM. Edmond About et E. de Najac		librairie dramatique (Paris)	Avec mode texte		Gallica		domaine public ¤ public domain	36		98,51	Bibliothèque nationale de France, département Littérature et art, 8-YTH-8552
https://gallica.bnf.fr/ark:/12148/bpt6k9808787k/f10.thumbnail	https://gallica.bnf.fr/ark:/12148/bpt6k9808787k		No	1	Comédie	–	No	2	No	M		No	http://catalogue.bnf.fr/ark:/12148/cb30001367q	1869	About, Edmond (1828-1885). Auteur du texte ¤ Najac, Émile de (1828-1889). Auteur du texte	Q361004 - Q286654	Retiré des affaires : comédie en deux actes / par MM. Edmond About et Émile de Najac		E. Dentu (Paris)	Avec mode texte		Gallica		domaine public ¤ public domain	80		98,5	Bibliothèque nationale de France, département Littérature et art, 8-YTH-15348
https://gallica.bnf.fr/ark:/12148/bpt6k8630352n/f10.thumbnail	https://gallica.bnf.fr/ark:/12148/bpt6k8630352n		No	1	Vaudeville	–	No	1	No	M		No	http://catalogue.bnf.fr/ark:/12148/cb300013682	1859	About, Edmond (1828-1885). Auteur du texte	Q361004	Risette : ou les Millions de la mansarde, vaudeville en 1 acte / par M. Edmond About		Michel Lévy (Paris)	Avec mode texte ¤ Opéras-comiques		Gallica		domaine public ¤ public domain	50		99,94	Bibliothèque nationale de France, département Littérature et art, 8-YTH-15597
https://gallica.bnf.fr/ark:/12148/bpt6k9808365m/f10.thumbnail	https://gallica.bnf.fr/ark:/12148/bpt6k9808365m		No	1	Comédie	–	No	1	No	M		No	http://catalogue.bnf.fr/ark:/12148/cb30001369d	1866	About, Edmond (1828-1885). Auteur du texte	Q361004	Risette ou Les millions de la mansarde : comédie en un acte mêlée de couplets (Nouvelle édition) / par M. Edmond About		Michel Lévy frères (Paris) ¤ Librairie nouvelle (Paris)	Avec mode texte		Gallica		domaine public ¤ public domain	50		98,5	Bibliothèque nationale de France, département Littérature et art, 8-YTH-15598
https://gallica.bnf.fr/ark:/12148/bpt6k61153417/f10.thumbnail	https://gallica.bnf.fr/ark:/12148/bpt6k61153417		Yes	1	Vaudeville	–	No	1	No	M		No	http://catalogue.bnf.fr/ark:/12148/cb300015031	1866	Abraham, Émile (1833-1907). Auteur du texte	Q26884335	L'Avenue des Soupirs, vaudeville en 1 acte, de M. Émile Abraham. (Paris, Folies-Dramatiques, 29 mars 1866.)		J. Barbré (Paris)	Avec mode texte ¤ Opéras-comiques		Gallica		domaine public ¤ public domain	22		94,01	Bibliothèque nationale de France, département Littérature et art, 8-YTH-1526
