Relation	Catalogue ARK	Repository	Shelfmark	Title	Language	Creator	Date	Digitised by	Source images	Metadata Source	Format	Type	Gallica
http://catalogue.bnf.fr/ark:/12148/cb386931591	ark:/12148/cb386931591	Bibliothèque nationale de France	Bibliothèque nationale de France, département Arts du spectacle, RESERVE 8-RE-4296	L'Aminte,... pastorale fidellement traduite de l'italien en vers françois [par Vion Dalibray]...	français	Tasse, Le	1632	Bibliothèque nationale de France		http://oai.bnf.fr/oai2/OAIHandler?verb=GetRecord&metadataPrefix=oai_dc&identifier=oai:bnf.fr:gallica/ark:/12148/bpt6k12801807	12 ff. n. ch. et 158 p. : 6 pl. gr. (en cahiers dans 1 carton) ; monté en in-8 °, in-12	Livre	https://gallica.bnf.fr/ark:/12148/bpt6k12801807
http://catalogue.bnf.fr/ark:/12148/cb38650187q	ark:/12148/cb38650187q	Bibliothèque nationale de France	Bibliothèque nationale de France, département Arts du spectacle, RESERVE 8-RF-1697 (1)	Oeuvres de Corneille. Première [-Troisième] partie	français	Corneille, Pierre	1652	Bibliothèque nationale de France		http://oai.bnf.fr/oai2/OAIHandler?verb=GetRecord&metadataPrefix=oai_dc&identifier=oai:bnf.fr:gallica/ark:/12148/bpt6k12801963	3 vol. : front. daté 1654 et portrait gr. ; In-12	Livre	https://gallica.bnf.fr/ark:/12148/bpt6k12801963
http://catalogue.bnf.fr/ark:/12148/cb302716393	ark:/12148/cb302716393	Bibliothèque nationale de France	Bibliothèque nationale de France, département Arts du spectacle, RESERVE 8-RF-1942	Horace, tragédie (par P. Corneille)	français	Corneille, Pierre	1647	Bibliothèque nationale de France		http://oai.bnf.fr/oai2/OAIHandler?verb=GetRecord&metadataPrefix=oai_dc&identifier=oai:bnf.fr:gallica/ark:/12148/bpt6k12802899	In-12, 44 ff. non ch., 76 p. (Picot, 18.)	Livre	https://gallica.bnf.fr/ark:/12148/bpt6k12802899
http://catalogue.bnf.fr/ark:/12148/cb386503471	ark:/12148/cb386503471	Bibliothèque nationale de France	Bibliothèque nationale de France, département Arts du spectacle, RESERVE 8-RF-1984	Cinna ou la Clémence d'Auguste	français	Corneille, Pierre	1648	Bibliothèque nationale de France		http://oai.bnf.fr/oai2/OAIHandler?verb=GetRecord&metadataPrefix=oai_dc&identifier=oai:bnf.fr:gallica/ark:/12148/bpt6k12802951	72 p. ; In-12	Livre	https://gallica.bnf.fr/ark:/12148/bpt6k12802951
http://catalogue.bnf.fr/ark:/12148/cb38650322p	ark:/12148/cb38650322p	Bibliothèque nationale de France	Bibliothèque nationale de France, département Arts du spectacle, RESERVE 8-RF-1943	Horace, tragédie par le Sieur Corneille...	français	Corneille, Pierre	1647	Bibliothèque nationale de France		http://oai.bnf.fr/oai2/OAIHandler?verb=GetRecord&metadataPrefix=oai_dc&identifier=oai:bnf.fr:gallica/ark:/12148/bpt6k12802988	3 ff. non ch., 65 p. ; In-12	Livre	https://gallica.bnf.fr/ark:/12148/bpt6k12802988
http://catalogue.bnf.fr/ark:/12148/cb38650370j	ark:/12148/cb38650370j	Bibliothèque nationale de France	Bibliothèque nationale de France, département Arts du spectacle, RESERVE 8-RF-2017	Polyeucte martyr, tragédie de Monsr Corneille	français	Corneille, Pierre	1648	Bibliothèque nationale de France		http://oai.bnf.fr/oai2/OAIHandler?verb=GetRecord&metadataPrefix=oai_dc&identifier=oai:bnf.fr:gallica/ark:/12148/bpt6k12803108	93 p. ; In-12	Livre	https://gallica.bnf.fr/ark:/12148/bpt6k12803108
http://catalogue.bnf.fr/ark:/12148/cb38650405c	ark:/12148/cb38650405c	Bibliothèque nationale de France	Bibliothèque nationale de France, département Arts du spectacle, RESERVE 8-RF-2087	Le Menteur, comédie par le Sieur Corneille	français	Corneille, Pierre	1653	Bibliothèque nationale de France		http://oai.bnf.fr/oai2/OAIHandler?verb=GetRecord&metadataPrefix=oai_dc&identifier=oai:bnf.fr:gallica/ark:/12148/bpt6k12803190	124 p. ; In-4 °	Livre	https://gallica.bnf.fr/ark:/12148/bpt6k12803190
http://catalogue.bnf.fr/ark:/12148/cb309580795	ark:/12148/cb309580795	Bibliothèque nationale de France	Bibliothèque nationale de France, département Arts du spectacle, RESERVE 8-RF-2792 (1)	Les oeuvres de Monsieur Molière...	français	Molière	1666	Bibliothèque nationale de France		http://oai.bnf.fr/oai2/OAIHandler?verb=GetRecord&metadataPrefix=oai_dc&identifier=oai:bnf.fr:gallica/ark:/12148/bpt6k12803605	2 vol. (395, 480 p.) : frontisp. gravés, signés : F. C. (Chauveau), bandeaux avec le monogramme I. P. ; in-12	Livre	https://gallica.bnf.fr/ark:/12148/bpt6k12803605
http://catalogue.bnf.fr/ark:/12148/cb38650866p	ark:/12148/cb38650866p	Bibliothèque nationale de France	Bibliothèque nationale de France, département Arts du spectacle, RESERVE 8-RF-2988	Sganarelle ou le Cocu imaginaire, comédie avec les arguments de chaque scène	français	Molière	1662	Bibliothèque nationale de France		http://oai.bnf.fr/oai2/OAIHandler?verb=GetRecord&metadataPrefix=oai_dc&identifier=oai:bnf.fr:gallica/ark:/12148/bpt6k12803991	4 ff. non ch., 40 p. : front. gr. ; In-12	Livre	https://gallica.bnf.fr/ark:/12148/bpt6k12803991
http://catalogue.bnf.fr/ark:/12148/cb38650865b	ark:/12148/cb38650865b	Bibliothèque nationale de France	Bibliothèque nationale de France, département Arts du spectacle, RESERVE 8-RF-2987	Sganarelle ou le Cocu imaginaire, comédie avec les arguments de chaque scène	français	Molière	1662	Bibliothèque nationale de France		http://oai.bnf.fr/oai2/OAIHandler?verb=GetRecord&metadataPrefix=oai_dc&identifier=oai:bnf.fr:gallica/ark:/12148/bpt6k12804007	6 ff. non ch., 60 p. ; In-12	Livre	https://gallica.bnf.fr/ark:/12148/bpt6k12804007
